Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2012-08-25 07:55:50,Running,,2.94,27:31,9:22,6.41,316.0,30.18,,,2012-08-25-0755.gpx
2012-08-22 16:49:55,Running,,3.76,37:51,10:04,5.96,424.0,32.83,,"Lovely exploration of the Oxford University Parks. Went a bit further than intended though!",2012-08-22-1649.gpx
2012-08-21 12:13:33,Cycling,,1.83,11:11,6:06,9.84,71.0,25.23,,,2012-08-21-1213.gpx
2012-08-18 09:57:28,Walking,,3.63,1:05:05,17:56,3.35,454.0,45.68,,,2012-08-18-0957.gpx
2012-08-15 18:59:38,Running,,4.49,54:36,12:11,4.93,598.0,123.17,,"Lovely evening for a run around Stourhead with Frome Running Club.",2012-08-15-1859.gpx
2012-08-10 09:59:23,Walking,,3.75,1:37:59,26:08,2.30,344.0,121.25,,,2012-08-10-0959.gpx
2012-08-04 07:31:09,Running,,2.95,31:24,10:40,5.63,326.0,36.37,,,2012-08-04-0731.gpx
2012-08-01 18:35:19,Running,,1.93,19:49,10:16,5.85,224.0,38.98,,"Shortish, gentle-ish run to ease back into it after a couple of weeks off due to a virus. Nice to get out again!",2012-08-01-1835.gpx
2012-05-29 05:55:23,Running,,3.55,36:16,10:13,5.87,411.0,90.09,,,2012-05-29-0555.gpx
2012-05-24 07:47:16,Running,,5.36,55:26,10:21,5.80,613.0,125.18,,,2012-05-24-0747.gpx
2012-05-16 17:54:26,Running,,3.30,32:01,9:42,6.18,374.0,64.09,,"Hard work when still stiff from yesterday's circuit training, but felt good, and a big difference from 2 months ago.",2012-05-16-1754.gpx
2012-05-13 08:45:27,Walking,,2.34,43:08,18:26,3.26,193.0,24.12,,,2012-05-13-0845.gpx
2012-05-06 10:42:18,Walking,,13.43,3:57:51,17:42,3.39,1053.0,207.32,,,2012-05-06-1042.gpx
2012-05-04 07:12:51,Running,,2.43,23:55,9:51,6.10,299.0,39.89,,,2012-05-04-0712.gpx
2012-04-15 11:00:59,Running,,6.20,56:31,9:07,6.58,659.0,61.61,,"Very windy, but still smashed my PB!",2012-04-15-1100.gpx
2012-04-08 10:09:28,Running,,6.34,1:03:41,10:03,5.97,714.0,111.09,,"This was supposed to be a slowish practice for next week's 10k, but on a hilly cross country course I've come out with a PB. How did that happen?",2012-04-08-1009.gpx
2012-04-06 11:12:53,Walking,,4.28,1:20:01,18:42,3.21,359.0,76.55,,,2012-04-06-1112.gpx
2012-04-06 08:24:20,Running,,2.58,31:53,12:21,4.86,307.0,82.39,,"Hill repeats are painful! Feeling good now though.",2012-04-06-0824.gpx
2012-04-02 17:58:14,Cycling,,2.72,18:47,6:55,8.68,104.0,37.97,,,2012-04-02-1758.gpx
2012-04-01 10:43:19,Walking,,8.21,3:02:44,22:16,2.69,791.0,306.07,,"Lovely Somerset walk for a lovely spring day.",2012-04-01-1043.gpx
2012-03-30 07:07:04,Running,,3.74,35:43,9:33,6.29,421.0,73.23,,,2012-03-30-0707.gpx
2012-03-27 18:00:48,Running,,2.32,23:10,9:59,6.01,115.0,37.36,,,2012-03-27-1800.gpx
2012-03-21 15:42:26,Running,,5.05,47:54,9:29,6.32,256.0,94.82,,"Haaaard!",2012-03-21-1542.gpx
2012-03-19 17:56:47,Cycling,,1.38,10:07,7:20,8.17,25.0,21.68,,,2012-03-19-1756.gpx
2012-03-14 18:08:30,Running,,2.62,31:30,12:03,4.98,137.0,56.36,,,2012-03-14-1808.gpx
2012-02-28 17:59:43,Running,,3.57,34:01,9:32,6.29,179.0,47.82,,,2012-02-28-1759.gpx
2012-02-26 10:33:33,Running,,3.07,30:19,9:53,6.07,157.0,59.64,,"Slightly better than last time for this route, but still bloody hard work!",2012-02-26-1033.gpx
2012-02-24 18:02:29,Running,,2.85,27:15,9:35,6.26,144.0,38.82,,,2012-02-24-1802.gpx
2012-02-21 17:56:40,Running,,2.47,23:16,9:24,6.38,123.0,32.42,,"Feeling good!",2012-02-21-1756.gpx
2012-02-16 17:06:41,Running,,3.10,31:43,10:14,5.86,160.0,62.27,,,2012-02-16-1706.gpx
2012-02-11 15:00:13,Running,,3.32,34:07,10:17,5.83,172.0,64.00,,"Phew! Hard work! Definitely need to get back in training.",2012-02-11-1500.gpx
2011-12-28 11:18:03,Walking,,1.50,13:21,8:56,6.72,78.0,43.00,,,2011-12-28-1118.gpx
2011-12-24 08:44:27,Running,,1.68,29:37,17:40,3.40,47.0,0.00,,,2011-12-24-0844.gpx
2011-12-23 16:08:54,Running,,1.11,13:30,12:08,4.94,58.0,16.64,,,2011-12-23-1608.gpx
